Stock,Entry,Exit,Side,Quantity,Brokerage,Date
NSE:NLCINDIA-EQ,272.83,255.65,1,364,81.27470277,07-02-2024
NSE:HINDPETRO-EQ,524.3,522.5,1,190,83.10415332,07-02-2024
NSE:VMART-EQ,2168.03,2124.89,-1,45,81.89626779,07-02-2024
NSE:EIDPARRY-EQ,599,600.67,1,166,83.21802691,07-02-2024
NSE:NYKAA-EQ,168.22,157.05,-1,588,81.03989492,07-02-2024
NSE:ALLCARGO-EQ,78.92,78.36,1,1279,83.4730396,07-02-2024
NSE:VIJAYA-EQ,659.5,670.75,-1,149,83.20241965,07-02-2024
NSE:NAZARA-EQ,899.92,887.03,-1,111,82.88670363,07-02-2024

NSE:AIAENG-EQ,4099.95,3933.45,1,4,17.10889726,08-02-2024
NSE:PPLPHARMA-EQ,133,138.9,1,150,21.90549735,08-02-2024
NSE:SOBHA-EQ,1390.85,1430.5,1,14,21.18151782,08-02-2024
NSE:FORTIS-EQ,447,441,1,45,21.3373116,08-02-2024
NSE:EPL-EQ,199.17,197,-1,100,21.15973607,08-02-2024
NSE:TRENT-EQ,3700,3863.6,-1,5,20.31164278,08-02-2024
NSE:KEC-EQ,674.05,660.95,-1,29,20.65950865,08-02-2024
NSE:KALYANKJIL-EQ,348.45,354.3,-1,57,21.45542429,08-02-2024

NSE:SOBHA-EQ,1467.69,1416.38,1,68,82.2564609,09-02-2024
NSE:PPLPHARMA-EQ,139.44,135.4,1,720,82.63979421,09-02-2024
NSE:EPL-EQ,196.7,193.95,-1,508,82.90826564,09-02-2024
NSE:TRENT-EQ,3806.8,3757.66,-1,26,82.60077233,09-02-2024
NSE:KALYANKJIL-EQ,356.06,355.75,-1,283,83.59297508,09-02-2024
NSE:KEC-EQ,661,664.93,-1,151,83.44620766,09-02-2024
NSE:AIAENG-EQ,3962.57,3927.66,1,25,82.75008408,09-02-2024
NSE:FORTIS-EQ,443.91,434.7,1,224,82.53835493,09-02-2024

NSE:ONGC-EQ,266.35,257.71,1,363,81.2321511838,2024-02-12
NSE:SOBHA-EQ,1328.3,1348.0,1,68,80.234479764,2024-02-12
NSE:TATAPOWER-EQ,382.95,361.55,1,250,80.24614874999999,2024-02-12
NSE:SAFARI-EQ,2088.45,2062.29,1,46,81.5713207684,2024-02-12
NSE:AUROPHARMA-EQ,1027.05,1016.95,-1,92,81.07994208,2024-02-12
NSE:GAEL-EQ,377.07,360.98,-1,250,80.10077887499999,2024-02-12
NSE:BANDHANBNK-EQ,216.99,200.97,-1,427,78.6986591332,2024-02-12
